Sort order,"Major area, region, country or area of destination",Notes,Country code,Type of data (a),1990,2000,2010,2013,1990,2000,2010,2013,1990,2000,2010,2013
1,WORLD,,900,, 154 161 984, 174 515 733, 220 729 300, 231 522 215, 78 856 267, 88 790 217, 114 581 437, 120 328 254, 75 305 717, 85 725 516, 106 147 863, 111 193 961
2,More developed regions,(b),901,, 82 306 645, 103 388 690, 129 737 280, 135 583 436, 40 188 828, 50 444 059, 62 969 343, 65 625 395, 42 117 817, 52 944 631, 66 767 937, 69 958 041
3,Less developed regions,(c),902,, 71 855 339, 71 127 043, 90 992 020, 95 938 779, 38 667 439, 38 346 158, 51 612 094, 54 702 859, 33 187 900, 32 780 885, 39 379 926, 41 235 920
4,Least developed countries,(d),941,, 10 922 472, 10 240 044, 10 181 518, 10 958 217, 5 771 023, 5 380 465, 5 539 446, 5 996 330, 5 151 449, 4 859 579, 4 642 072, 4 961 887
5,Less developed regions excluding least developed countries,,934,, 60 932 867, 60 886 999, 80 810 502, 84 980 562, 32 896 416, 32 965 693, 46 072 648, 48 706 529, 28 036 451, 27 921 306, 34 737 854, 36 274 033
6,Sub-Saharan Africa,(e),947,, 14 625 619, 14 520 681, 15 812 664, 17 228 396, 7 752 795, 7 593 537, 8 427 048, 9 230 497, 6 872 824, 6 927 144, 7 385 616, 7 997 899
7,AFRICA,,903,, 15 630 932, 15 591 335, 17 125 675, 18 644 454, 8 339 707, 8 227 551, 9 222 376, 10 093 315, 7 291 225, 7 363 784, 7 903 299, 8 551 139
8,Eastern Africa,,910,, 5 799 859, 5 075 704, 4 539 045, 5 217 048, 2 986 926, 2 587 543, 2 334 500, 2 722 252, 2 812 933, 2 488 161, 2 204 545, 2 494 796
9,Burundi,,108,B R,  333 110,  107 136,  235 259,  254 477,  163 267,  50 614,  115 823,  125 285,  169 843,  56 522,  119 436,  129 192
10,Comoros,,174,B,  14 079,  13 799,  12 618,  12 511,  6 717,  6 511,  6 060,  6 039,  7 362,  7 288,  6 558,  6 472
11,Djibouti,,262,B R,  122 221,  110 201,  114 188,  123 537,  64 242,  58 329,  62 907,  68 572,  57 979,  51 872,  51 281,  54 965
12,Eritrea,,232,I,  11 848,  12 952,  15 676,  15 798,  6 228,  6 856,  8 603,  8 733,  5 620,  6 096,  7 073,  7 065
13,Ethiopia,,231,B R, 1 155 390,  662 444,  580 614,  718 241,  607 284,  350 621,  312 456,  386 678,  548 106,  311 823,  268 158,  331 563
14,Kenya,,404,B R,  162 981,  755 351,  817 747,  955 452,  83 131,  376 070,  402 059,  469 764,  79 850,  379 281,  415 688,  485 688
15,Madagascar,,450,C,  46 125,  41 735,  35 234,  34 313,  24 843,  22 479,  19 395,  18 995,  21 282,  19 256,  15 839,  15 318
16,Malawi,,454,B R, 1 156 878,  280 096,  216 168,  206 578,  561 393,  135 690,  103 086,  98 279,  595 485,  144 406,  113 082,  108 299
17,Mauritius,(1),480,B,  8 736,  38 833,  43 395,  44 997,  4 286,  14 256,  16 735,  17 563,  4 450,  24 577,  26 660,  27 434
18,Mayotte,,175,B,  14 862,  40 165,  71 399,  73 107,  8 538,  20 308,  33 074,  33 735,  6 324,  19 857,  38 325,  39 372
19,Mozambique,,508,C R,  122 332,  195 816,  214 396,  218 811,  66 059,  110 766,  131 586,  134 302,  56 273,  85 050,  82 810,  84 509
20,Réunion,,638,B,  58 238,  106 073,  129 408,  136 493,  31 244,  54 895,  64 417,  67 539,  26 994,  51 178,  64 991,  68 954
21,Rwanda,,646,B R,  72 862,  391 379,  441 775,  452 406,  33 615,  180 561,  209 148,  215 610,  39 247,  210 818,  232 627,  236 796
22,Seychelles,,690,B,  3 721,  6 574,  11 420,  12 079,  2 204,  3 837,  7 804,  8 410,  1 517,  2 737,  3 616,  3 669
23,Somalia,,706,I R,  478 294,  20 087,  23 995,  24 593,  244 201,  10 622,  12 914,  13 328,  234 093,  9 465,  11 081,  11 265
24,South Sudan,,728,B R,..,..,  257 905,  629 577,..,..,  146 279,  375 809,..,..,  111 626,  253 768
25,Uganda,,800,B R,  558 307,  634 703,  529 160,  531 401,  292 616,  318 469,  261 003,  261 770,  265 691,  316 234,  268 157,  269 631
26,United Republic of Tanzania,(2),834,B R,  574 025,  928 180,  308 600,  312 778,  292 223,  469 780,  154 385,  156 059,  281 802,  458 400,  154 215,  156 719
27,Zambia,,894,B R,  279 029,  321 167,  108 367,  98 907,  142 807,  163 620,  54 824,  49 965,  136 222,  157 547,  53 543,  48 942
28,Zimbabwe,,716,B R,  626 821,  409 013,  371 721,  360 992,  352 028,  233 259,  211 942,  205 817,  274 793,  175 754,  159 779,  155 175
29,Middle Africa,,911,, 1 455 922, 1 586 912, 2 121 484, 2 242 414,  742 222,  812 631, 1 122 884, 1 195 131,  713 700,  774 281,  998 600, 1 047 283
